CardNumber,Date,Description,MCC_Cd,Amount,Type,Status,Transaction_ID,Carbon_Calc_f
8520-3180-0072-7121,2022-03-10,General Contractor/Residential Building,1520,308,Credit,Cleared,592af72d-17fd-48b1-bd50-be5c81dfc724,N
1331-3717-0773-2487,2022-02-25,"Heating, Plumbing, Air Conditioning Contractors",1711,3725,Debit,Cleared,9f19ea34-f546-4c9e-a1e6-569bbb3609be,N
1331-3717-0773-2487,2022-03-27,Electrical Contractors,1731,3669,Credit,Cleared,59ea0323-8650-471f-9344-ec2c4a0cb255,N
1627-6537-8884-3428,2022-03-26,"Masonry, Stonework, Tile Setting, Plastering, Insulation Contractors",1740,2549,Credit,Cleared,f85fddf4-d59b-49c3-8458-1b4704cac1c1,N
7584-8057-3330-8243,2022-04-11,Carpentry,1750,2237,Credit,Cleared,437e15d1-bb9d-41ae-b446-3e9a5c37df18,N
6575-4613-6817-7234,2022-03-11,"Roof, Siding, and Sheet Metal Work Contractors",1761,905,Credit,Cleared,a01717f1-858a-411e-9cc3-5289ec903239,N
4265-4481-6624-5584,2022-02-28,"Contractors, Concrete",1771,722,Debit,Cleared,7d82fdbd-ae47-4e2f-b441-fb2a000f35d9,N
6575-4613-6817-7234,2022-04-20,Special Trade Contractor - Not Elsewhere Classified,1799,3815,Debit,Cleared,ccef1906-15f7-4a08-a1e5-e49a9b5d260b,N
8520-3180-0072-7121,2022-05-01,Miscellaneous Publishing and Printing Services,2741,1871,Debit,Cleared,677daa84-5909-443b-91ce-a550b0f0a6af,N
4202-2185-3016-1605,2022-04-24,"Typesetting, Plate Making and Related Services (Business to Business MCC)",2791,3091,Credit,Cleared,fb725a8e-51d2-4736-985e-403bf3569ccd,N
7742-5634-4653-4660,2022-05-01,"Specialty Cleaning, Polishing and Sanitation Preparations (Business to Business MCC)",2842,3406,Debit,Cleared,5a49545a-8561-4258-9158-63aacde131c9,N
3768-5806-1760-2402,2022-03-30,United Airlines ,3000,590,Credit,Cleared,b805a115-b22b-47a6-b251-023305743fa9,N
7140-5836-4713-2233,2022-03-12,American Airlines ,3001,1757,Credit,Cleared,8862dc55-8871-4803-848c-56e913b49c17,N
5112-5401-3048-6385,2022-04-09,Pan American,3002,2997,Debit,Cleared,c022293b-4f66-4b5f-88c5-b52baf744d5e,N
1007-1847-0342-1858,2022-02-22,Eurofly Airlines,3003,202,Debit,Cleared,4790c5a9-a8fe-4ccf-a035-10127c2928b4,N
3435-4127-8278-2304,2022-05-17,Dragon Airlines,3004,2450,Debit,Cleared,1fcbe781-3ec1-4879-9db2-3fe7c3fd2cca,N
0143-3057-0734-0500,2022-05-10,British Airways ,3005,82,Debit,Cleared,bc714b89-1ca4-41dc-a00d-f439ca9118ff,N
8030-1321-5778-0363,2022-03-07,Japan Air Lines ,3006,2344,Debit,Cleared,85a53881-b101-4e92-a2a8-af6698130bf4,N
0373-1428-2370-0035,2022-03-07,Air France,3007,3916,Debit,Processing,21c7a3d7-0f77-40be-8e81-77db5da518d4,N
5324-5333-3713-1745,2022-05-17,Lufthansa,3008,3226,Credit,Cleared,5f4eb76a-598c-4ca0-8ad7-1601e32aed6d,N
1532-0037-7363-6872,2022-04-14,Air Canada,3009,933,Debit,Cleared,0042526f-d2e3-4129-9d6b-daf2448a56ef,N
2230-3314-3361-3488,2022-03-25,KLM,3010,3786,Credit,Processing,7284c465-713e-4fae-ad3b-601f0cb25c99,N
3435-4127-8278-2304,2022-03-24,AeroFlot,3011,1370,Credit,Cleared,b564ee93-3ed4-4b94-9e6b-324deaf73d2b,N
2230-3314-3361-3488,2022-03-05,Qantas,3012,536,Debit,Cleared,c030d9cb-68c9-4413-946e-fe062f38af74,N
2513-7800-0438-1508,2022-02-25,Alitalia,3013,886,Debit,Cleared,09b61251-8220-42a2-b5c0-6e91e2d28a5d,N
3873-1011-7884-4651,2022-02-16,Saudi Arabian Airlines,3014,3150,Debit,Processing,833d6ea3-d637-46ab-8c00-53e706d26329,N
8436-1032-3354-5256,2022-02-21,SWISS,3015,3122,Debit,Cleared,c751e688-972b-4581-b62c-60107c12ae5a,N
0150-6226-3665-1580,2022-03-08,SAS,3016,2959,Debit,Processing,53362b96-b94c-44bd-8504-114981e8569f,N
